week,deviation_type,layer,description,action_taken,system_modified,resolved
2026_W01,Terminology,Brief,Used Broad Participation instead of Broad Leadership in published brief,Corrected wording in 2026_W01.md,No,Yes
2026_W01,Template,Brief,Closing statement initially missing from generated output,Updated fill_weekly_template.py to inject deterministic closing section,Yes,Yes
2026_W01,Logic,Template,Leadership concentration hardcoded as 3 sectors in filler script,Replaced hardcoded value with computed Persistent Leader count,Yes,Yes
2026_W01,Terminology,Engine,Breadth label used Broad Participation instead of Broad Leadership,Updated classify_breadth output in weekly_structure_engine.py,Yes,Yes
2026_W01,Governance,Rules,STRUCTURE_CLASSIFICATION_RULES.md used Broad Participation terminology,Aligned rules document to Broad Leadership standard,No,Yes
2026_W02,Ranking,Brief,Bottom 3 by 4W Rank listed XLV instead of XLK,Corrected Bottom 3 ranking in 2026_W02.md,No,Yes
2026_W03,Engine,Brief Generation,Change vs Last Week displayed n/a because prior-week comparison logic was missing,Implemented automatic previous-week detection and comparison logic,No,Yes
2026_W03,Template,Brief Output,Generated brief contained template instruction text and placeholders,Added strip_template_instructions() cleanup layer to remove template scaffolding,No,Yes
2026_W04,None,VisualAudit,No deviation detected,No action required,No,Yes
2026_W05,Template,Brief,Instructional template text remained in final output,Extend template cleanup rules in fill script,No,Yes
2026_W05,Formatting,Brief,Visual separator lines (- -) remain in output,Normalize or remove separator formatting in template,No,Yes
week,type,description,action_taken,status
2026_W06,Classification Lag,XLE remained HH/HL despite clear structural breakdown,Added recent-structure override rule to downgrade HH/HL to TRANSITION,Resolved
2026_W06,Template Wording,Top 3 labeled as Leaders despite TRANSITION state,Changed label to "Top 3 by 4W Relative Strength",Resolved
2026_W06,Grammar Issue,Incorrect pluralization (1 sectors, structure count phrasing),Implemented pluralization helper function,Resolved
2026_W06,Leadership Logic,Leadership concentration based only on Persistent Leaders caused inconsistency,Shifted to HH/HL-based leadership description,Resolved
2026_W07,classification_misalignment,ANALYZE,Under-classification of LH/LL structures (XLV, XLP identified as TRANSITION instead of confirmed LH/LL),No system change – logged for post-phase review,No,No
